	"deployment"	"retrieval"	"month_dep"	"month_ret"	"months"	"arms_code"	"site_code"	"id_site"	"protection"	"protection_level"	"depth"	"lat"	"lon"	"paper"	"ECOREGION"	"PROVINCE"	"REALM"	"Lat_Zone"	"chl_mean"	"k490_mean"	"npp_mean"	"npp_nsi"	"npp_total"	"par_mean"	"sss_mean"	"sss_range"	"sst_mean"	"sst_range"
"1HERP"	2019	2020	"Jun"	"Jun"	12	"1HERP"	"1HERP"	"site_17_2019_2020"	"unprotected"	"absent"	4	35.343153	25.136605	"arms_mbon"	"Aegean Sea"	"Mediterranean Sea"	"Temperate Northern Atlantic"	"Temperate"	0.143389135599136	0.031069852411747	399.505950927734	0.299431145191193	17229.794921875	40.4624290466309	39.2941818237305	0.957485675811768	20.9879760742188	11.3103456497192
"2UBPC"	2019	2020	"Sep"	"Dec"	15	"2UBPC"	"2UBPC"	"site_18_2019_2020"	"unprotected"	"absent"	21	35.34662	25.27876	"arms_mbon"	"Aegean Sea"	"Mediterranean Sea"	"Temperate Northern Atlantic"	"Temperate"	0.144734069705009	0.031507071107626	403.132202148438	0.291574209928513	17495.78515625	40.507640838623	39.3009414672852	0.950122058391571	20.9373016357422	11.2881622314453
"ALA_A1"	2013	2014	"Aug"	"Sep"	13	"ALA.A1"	"ALA"	"site_21_2013_2014"	"protected"	"nd"	7	43.28	28.06	"Pearman et al. 2020"	"Black Sea"	"Black Sea"	"Temperate Northern Atlantic"	"Temperate"	5.07831144332886	0.461606383323669	3267.6533203125	0.605620682239532	120933.6640625	31.5328922271729	16.6298656463623	3.61408019065857	16.1418476104736	22.3768997192383
"ALA_A2"	2013	2014	"Aug"	"Sep"	13	"ALA.A2"	"ALA"	"site_21_2013_2014"	"protected"	"nd"	7	43.28	28.06	"Pearman et al. 2020"	"Black Sea"	"Black Sea"	"Temperate Northern Atlantic"	"Temperate"	5.07831144332886	0.461606383323669	3267.6533203125	0.605620682239532	120933.6640625	31.5328922271729	16.6298656463623	3.61408019065857	16.1418476104736	22.3768997192383
"ALA_A3"	2013	2014	"Aug"	"Sep"	13	"ALA.A3"	"ALA"	"site_21_2013_2014"	"protected"	"nd"	7	43.28	28.06	"Pearman et al. 2020"	"Black Sea"	"Black Sea"	"Temperate Northern Atlantic"	"Temperate"	5.07831144332886	0.461606383323669	3267.6533203125	0.605620682239532	120933.6640625	31.5328922271729	16.6298656463623	3.61408019065857	16.1418476104736	22.3768997192383
"BasBloS1"	2019	2020	"Jun"	"May"	12	"BasBloS1"	"BasBloS1"	"site_9_2019_2020"	"protected"	"nd"	12	48.72872	-3.95894	"arms_mbon"	"Celtic Seas"	"Northern European Seas"	"Temperate Northern Atlantic"	"Temperate"	1.72869718074799	0.163504049181938	1711.95275878906	0.431242644786835	64354.34765625	27.7193183898926	35.0241889953613	0.713545978069305	13.0291814804077	7.98525428771973
"BasBloS2"	2019	2020	"Jun"	"May"	12	"BasBloS2"	"BasBloS2"	"site_9_2019_2020"	"protected"	"nd"	12	48.72872	-3.95894	"arms_mbon"	"Celtic Seas"	"Northern European Seas"	"Temperate Northern Atlantic"	"Temperate"	1.72869718074799	0.163504049181938	1711.95275878906	0.431242644786835	64354.34765625	27.7193183898926	35.0241889953613	0.713545978069305	13.0291814804077	7.98525428771973
"BasBloS3"	2019	2020	"Jun"	"May"	12	"BasBloS3"	"BasBloS3"	"site_9_2019_2020"	"protected"	"nd"	12	48.72872	-3.95894	"arms_mbon"	"Celtic Seas"	"Northern European Seas"	"Temperate Northern Atlantic"	"Temperate"	1.72869718074799	0.163504049181938	1711.95275878906	0.431242644786835	64354.34765625	27.7193183898926	35.0241889953613	0.713545978069305	13.0291814804077	7.98525428771973
"CAS_A1"	2013	2014	"Jun"	"Dec"	18	"CAS.A1"	"CAS"	"site_2_2013_2014"	"protected"	"II"	17	43.15	5.55	"Pearman et al. 2020"	"Western Mediterranean"	"Mediterranean Sea"	"Temperate Northern Atlantic"	"Temperate"	0.4566989839077	0.0647733211517334	769.16748046875	0.33937856554985	32946.9765625	35.0462379455566	38.1085014343262	0.998893141746521	17.8003540039062	12.7790679931641
"CAS_A2"	2013	2014	"Jun"	"Dec"	18	"CAS.A2"	"CAS"	"site_2_2013_2014"	"protected"	"II"	17	43.15	5.55	"Pearman et al. 2020"	"Western Mediterranean"	"Mediterranean Sea"	"Temperate Northern Atlantic"	"Temperate"	0.4566989839077	0.0647733211517334	769.16748046875	0.33937856554985	32946.9765625	35.0462379455566	38.1085014343262	0.998893141746521	17.8003540039062	12.7790679931641
"CAS_A3"	2013	2014	"Jun"	"Dec"	18	"CAS.A3"	"CAS"	"site_2_2013_2014"	"protected"	"II"	17	43.15	5.55	"Pearman et al. 2020"	"Western Mediterranean"	"Mediterranean Sea"	"Temperate Northern Atlantic"	"Temperate"	0.4566989839077	0.0647733211517334	769.16748046875	0.33937856554985	32946.9765625	35.0462379455566	38.1085014343262	0.998893141746521	17.8003540039062	12.7790679931641
"CG_A"	2015	2017	"May"	"May"	24	"CG.A"	"CG"	"site_33_2015_2017"	"unprotected"	"absent"	10	20.11	40.22	"Carvalho_etal_2019"	"Southern Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	1.0657742023468	0.108966685831547	898.393249511719	0.431135177612305	25054.857421875	48.6828231811523	38.0306777954102	1.47566294670105	29.4175205230713	5.9041314125061
"CG_B"	2015	2017	"May"	"May"	24	"CG.B"	"CG"	"site_33_2015_2017"	"unprotected"	"absent"	10	20.11	40.22	"Carvalho_etal_2019"	"Southern Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	1.0657742023468	0.108966685831547	898.393249511719	0.431135177612305	25054.857421875	48.6828231811523	38.0306777954102	1.47566294670105	29.4175205230713	5.9041314125061
"CG_C"	2015	2017	"May"	"May"	24	"CG.C"	"CG"	"site_33_2015_2017"	"unprotected"	"absent"	10	20.11	40.22	"Carvalho_etal_2019"	"Southern Red Sea"	"Red Sea and Gulf of Aden"	"Western Indo-Pacific"	"Tropical"	1.0657742023468	0.108966685831547	898.393249511719	0.431135177612305	25054.857421875	48.6828231811523	38.0306777954102	1.47566294670105	29.4175205230713	5.9041314125061
"CHE_A2"	2013	2014	"Aug"	"Sep"	13	"CHE.A2"	"CHE"	"site_19_2013_2014"	"protected"	"nd"	7	42.93	27.91	"Pearman et al. 2020"	"Black Sea"	"Black Sea"	"Temperate Northern Atlantic"	"Temperate"	4.02912187576294	0.35566708445549	2802.76977539062	0.587861359119415	103825.2734375	32.3357582092285	16.9042797088623	3.14217162132263	16.2479381561279	22.0561542510986
